iter,ns,epot,ekin,etot,T,ext_force_x_atom0,ext_force_x_atom1026,molecular_extension,t
780000,0.7799999999999999,[-642.7833802103996],[1010.35229492],[367.56891471],[330.04375384],0.099609375,-0.8083999752998352,13.257833480834961,18417.18511033058
785000,0.7849999999999999,[-1358.3854583501816],[1027.02844238],[-331.35701597],[335.49121838],0.11342316120862961,-0.355305016040802,14.432330131530762,18531.30933046341
790000,0.7899999999999999,[-964.6886832714081],[982.40551758],[17.71683431],[320.9146022],0.33044204115867615,-0.5122456550598145,13.573725700378418,18645.75443506241
795000,0.7949999999999999,[-619.4361262917519],[1046.00231934],[426.56619304],[341.68926396],0.2514190673828125,-0.6740278601646423,13.443120956420898,18759.905796289444
800000,0.7999999999999999,[-840.7481306493282],[1012.05908203],[171.31095138],[330.60129642],0.3126663267612457,-0.3601679801940918,14.150946617126465,18874.921364068985
805000,0.8049999999999999,[-1125.6040033996105],[995.82543945],[-129.77856395],[325.29838142],0.4730209410190582,-0.33291760087013245,13.894479751586914,18989.686772346497
810000,0.8099999999999999,[-1124.1098433732986],[1009.87768555],[-114.23215783],[329.88871696],0.7241989374160767,-0.4358676075935364,13.085453987121582,19103.70465373993
815000,0.815,[-1372.1610083580017],[1008.16973877],[-363.99126959],[329.33079556],0.8131737112998962,-0.44899025559425354,12.90650463104248,19218.499001026154
820000,0.82,[-1185.6254081726074],[1017.70019531],[-167.92521286],[332.44403406],0.6950706839561462,-0.7458445429801941,12.535920143127441,19333.452365636826
825000,0.825,[-1316.8298554420471],[1013.22930908],[-303.60054636],[330.98356519],0.4579429626464844,-0.6851812601089478,13.356691360473633,19447.6958899498
830000,0.83,[-715.8425408601761],[1006.20410156],[290.3615607],[328.68869648],0.4235588014125824,-0.8866060376167297,13.015384674072266,19562.265315532684
835000,0.835,[-1112.0227530002594],[985.73547363],[-126.28727937],[322.00237248],0.5328376889228821,-0.915256679058075,12.746854782104492,19676.62511086464
840000,0.84,[-592.1510486602783],[1027.8458252],[435.69477654],[335.75822633],0.3105919063091278,-1.0280297994613647,13.096830368041992,19790.7229886055
845000,0.845,[-972.6789515018463],[1017.69805908],[45.01910758],[332.44333623],0.5612503290176392,-0.8072360157966614,13.098462104797363,19904.83688211441
850000,0.85,[-1068.2039551734924],[1014.94470215],[-53.25925303],[331.543919],1.0105594396591187,-0.6802409291267395,12.36897087097168,20019.54684829712
855000,0.855,[-813.9623118638992],[994.69195557],[180.7296437],[324.92811525],0.819366455078125,-0.2235250473022461,14.06503677368164,20133.96715950966
860000,0.86,[-949.9352525472641],[998.10614014],[48.17088759],[326.04339979],1.0627788305282593,-0.430457204580307,13.015469551086426,20248.963279485703
865000,0.865,[-1018.3663032054901],[998.40625],[-19.96005321],[326.14143429],1.1616543531417847,0.025260353460907936,13.983869552612305,20363.297775506973
870000,0.87,[-1073.2793917655945],[1046.65808105],[-26.62131071],[341.90347643],1.1209083795547485,-0.1598636656999588,13.699217796325684,20478.06919503212
875000,0.875,[-713.2815902233124],[1024.08959961],[310.80800939],[334.53120997],0.3583335876464844,-0.9098455309867859,13.80699348449707,20592.928109407425
880000,0.88,[-1295.644813656807],[1024.71606445],[-270.9287492],[334.73585226],0.4764305055141449,-0.9012120366096497,13.60962963104248,20707.769886016846
885000,0.885,[-1340.2652533054352],[968.16540527],[-372.09984803],[316.2628979],0.24798583984375,-1.0069553852081299,13.992676734924316,20823.175782203674
890000,0.89,[-552.9732840061188],[1025.42163086],[472.44834685],[334.96633403],0.6400894522666931,-0.8249167799949646,13.543807983398438,20938.612715244293
895000,0.8949999999999999,[-1010.4442842006683],[997.47229004],[-12.97199416],[325.83634501],0.7324379086494446,-0.6711037755012512,13.773763656616211,21054.07870364189
900000,0.8999999999999999,[-851.9900081157684],[978.04229736],[126.05228925],[319.48930374],0.8174492120742798,-0.7252812385559082,13.50208568572998,21169.329275608063
